index_original,Jour_Incident,Cause_Incident,Nb_TGV_Impactes,Minutes_Retard_Cumulees,Date,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Commentaire annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Commentaire retards au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)"
63,28,Soin Matériel Roulant au 7810,0,44,2018-01,National,MARNE LA VALLEE,LYON PART DIEU,109,335,9,,212,12.49591195,8.241411043,,59,45.52118644,8.487218814,43,8.487218814,29,17,31.25,31.25,12.5,18.75,6.25,0.0
73,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,ANGOULEME,PARIS MONTPARNASSE,125,270,4,,135,5.710123457,2.971365915,,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
73,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,ANGOULEME,PARIS MONTPARNASSE,125,270,4,,135,5.710123457,2.971365915,,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
73,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,ANGOULEME,PARIS MONTPARNASSE,125,270,4,,135,5.710123457,2.971365915,,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
73,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,ANGOULEME,PARIS MONTPARNASSE,125,270,4,,135,5.710123457,2.971365915,,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
73,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,ANGOULEME,PARIS MONTPARNASSE,125,270,4,,135,5.710123457,2.971365915,,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
73,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,ANGOULEME,PARIS MONTPARNASSE,125,270,4,,135,5.710123457,2.971365915,,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
79,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,PARIS MONTPARNASSE,ST MALO,156,102,0,,12,19.9125,1.966666667,,13,48.62307692,6.790686275,8,6.724757282,6,4,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0.0
79,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,PARIS MONTPARNASSE,ST MALO,156,102,0,,12,19.9125,1.966666667,,13,48.62307692,6.790686275,8,6.724757282,6,4,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0.0
79,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,PARIS MONTPARNASSE,ST MALO,156,102,0,,12,19.9125,1.966666667,,13,48.62307692,6.790686275,8,6.724757282,6,4,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0.0
