Round Number,Date,Location,homeTeam,Away Team,Result
9,06/10/2019 15:00:00,Stade Pierre-Mauroy,LOSC,Nîmes Olympique,2 - 2
9,06/10/2019 17:00:00,Roazhon Park,Stade Rennais FC,Stade de Reims,0 - 1
9,06/10/2019 21:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique Lyonnais,1 - 0
10,18/10/2019 20:45:00,Allianz Riviera,OGC Nice,Paris Saint-Germain,1 - 4
10,19/10/2019 17:30:00,Groupama Stadium,Olympique Lyonnais,Dijon FCO,0 - 0
10,19/10/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,0 - 1
10,19/10/2019 20:00:00,Stade Saint-Symphorien,FC Metz,FC Nantes,1 - 0
10,19/10/2019 20:00:00,Stade des Costières,Nîmes Olympique,Amiens SC,1 - 1
10,19/10/2019 20:00:00,Stade Auguste Delaune,Stade de Reims,Montpellier Hérault SC,1 - 0
10,19/10/2019 20:00:00,Stadium de Toulouse,Toulouse FC,LOSC,2 - 1
10,20/10/2019 15:00:00,Matmut Atlantique,Girondins de Bordeaux,AS Saint-Etienne,0 - 1
10,20/10/2019 17:00:00,Stade Louis II,AS Monaco,Stade Rennais FC,3 - 2
10,20/10/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,2 - 0
11,25/10/2019 20:45:00,La Beaujoire-Louis,FC Nantes,AS Monaco,0 - 1
11,26/10/2019 17:30:00,Stade Pierre-Mauroy,LOSC,Girondins de Bordeaux,3 - 0
11,26/10/2019 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,Dijon FCO,2 - 0
11,26/10/2019 20:00:00,Groupama Stadium,Olympique Lyonnais,FC Metz,2 - 0
11,26/10/2019 20:00:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,0 - 0
11,26/10/2019 20:00:00,Stade Auguste Delaune,Stade de Reims,Nîmes Olympique,0 - 0
11,26/10/2019 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,1 - 0
11,27/10/2019 15:00:00,Roazhon Park,Stade Rennais FC,Toulouse FC,3 - 2
11,27/10/2019 17:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Amiens SC,2 - 2
11,27/10/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,4 - 0
12,01/11/2019 20:45:00,Stade Gaston Gérard,Dijon FCO,Paris Saint-Germain,2 - 1
12,02/11/2019 17:30:00,Stade Vélodrome,Olympique de Marseille,LOSC,2 - 1
12,02/11/2019 20:00:00,Stade de la Licorne,Amiens SC,Stade Brestois 29,1 - 0
12,02/11/2019 20:00:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,1 - 0
12,02/11/2019 20:00:00,Stade Saint-Symphorien,FC Metz,Montpellier Hérault SC,2 - 2
12,02/11/2019 20:00:00,Stadium de Toulouse,Toulouse FC,Olympique Lyonnais,2 - 3
12,03/11/2019 15:00:00,Matmut Atlantique,Girondins de Bordeaux,FC Nantes,2 - 0
12,03/11/2019 17:00:00,Allianz Riviera,OGC Nice,Stade de Reims,2 - 0
12,03/11/2019 21:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,AS Monaco,1 - 0
13,08/11/2019 20:45:00,Allianz Riviera,OGC Nice,Girondins de Bordeaux,1 - 1
13,09/11/2019 17:30:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,1 - 2
13,09/11/2019 20:00:00,Stade Pierre-Mauroy,LOSC,FC Metz,0 - 0
13,09/11/2019 20:00:00,Stade Louis II,AS Monaco,Dijon FCO,1 - 0
13,09/11/2019 20:00:00,Stade Auguste Delaune,Stade de Reims,Angers SCO,0 - 0
13,09/11/2019 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Nîmes Olympique,4 - 1
13,10/11/2019 15:00:00,Roazhon Park,Stade Rennais FC,Amiens SC,3 - 1
13,10/11/2019 17:00:00,Stade de la Mosson,Montpellier Hérault SC,Toulouse FC,3 - 0
13,10/11/2019 17:00:00,La Beaujoire-Louis,FC Nantes,AS Saint-Etienne,2 - 3
13,10/11/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,Olympique Lyonnais,2 - 1
14,22/11/2019 20:45:00,Parc des Princes,Paris Saint-Germain,LOSC,2 - 0
14,23/11/2019 17:30:00,Groupama Stadium,Olympique Lyonnais,OGC Nice,2 - 1
14,23/11/2019 20:00:00,Stade de la Licorne,Amiens SC,RC Strasbourg Alsace,0 - 4
14,23/11/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Nîmes Olympique,1 - 0
14,23/11/2019 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,1 - 1
14,23/11/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,Stade Rennais FC,2 - 1
